,Team_x,Athlete,Year
480,GBR,Rebecca Adlington,2008
481,ITA,Alessia Filippi,2008
482,DEN,Lotte Friis,2008
483,ROU,Camelia Alina Potec,2008
484,CHN,Xuanxu Li,2008
485,AUS,Kylie Palmer,2008
486,RUS,Elena Sokolova,2008
487,GBR,Cassandra Patten,2008
488,USA,Natalie Coughlin,2004
489,ZIM,Kirsty Leigh Coventry,2004
490,FRA,Laure Manaudou,2004
491,JPN,Reiko Nakamura,2004
492,ESP,Nina Alexandrovna Zhivanevskaya,2004
493,GER,Antje Buschschulte,2004
494,DEN,Louise Ornstedt,2004
495,USA,Haley Cope,2004
496,CHN,Xuejuan Luo,2004
497,AUS,Brooke Hanson,2004
498,AUS,Leisel Jones,2004
499,USA,Amanda Beard,2004
500,GER,Sarah Poewe,2004
501,USA,Tara Kirk,2004
502,UKR,Svitlana Bondarenko,2004
503,CHN,Hui Qi,2004
504,AUS,Petria Thomas,2004
505,POL,Otylia Jedrzejczak,2004
506,NED,Inge De Bruijn,2004
507,AUS,Jessicah Schipper,2004
508,USA,Jenny Thompson,2004
509,SVK,Martina Moravcova,2004
510,BLR,Alena Popchanka,2004
511,JPN,Junko Onishi,2004
512,AUS,Jodie Henry,2004
513,NED,Inge De Bruijn,2004
514,USA,Natalie Coughlin,2004
515,FRA,Malia Metella,2004
516,USA,Kara Lynn Joyce,2004
517,GRE,Nery Mantey Niangkouara,2004
518,SVK,Martina Moravcova,2004
519,BLR,Alena Popchanka,2004
520,ZIM,Kirsty Leigh Coventry,2004
521,RUS,Stanislava Komarova,2004
522,JPN,Reiko Nakamura,2004
523,GER,Antje Buschschulte,2004
524,USA,Margaret Hoelzer,2004
525,DEN,Louise Ornstedt,2004
526,GBR,Katy Sexton,2004
527,JPN,Aya Terakawa,2004
528,USA,Amanda Beard,2004
529,AUS,Leisel Jones,2004
530,GER,Anne Poleska,2004
531,JPN,Masami Tanaka,2004
532,HUN,Agnes Kovacs,2004
533,CHN,Hui Qi,2004
534,AUT,Mirna Jukic,2004
535,AUS,Brooke Hanson,2004
536,POL,Otylia Jedrzejczak,2004
537,AUS,Petria Thomas,2004
538,JPN,Yuko Nakanishi,2004
539,USA,Kaitlin Sandeno,2004
540,AUS,Felicity Galvez,2004
541,DEN,Mette Jacobsen,2004
542,ITA,Paola Cavallino,2004
543,HUN,Eva Risztov,2004
544,ROU,Camelia Alina Potec,2004
545,ITA,Federica Pellegrini,2004
546,FRA,Solenne Figues,2004
547,POL,Paulina Barzycka,2004
548,GER,Franziska Van Almsick,2004
549,USA,Dana Vollmer,2004
550,CHN,Jiaying Pang,2004
551,SWE,Josefin Lillhage,2004
552,UKR,Yana Klochkova,2004
553,USA,Amanda Beard,2004
554,ZIM,Kirsty Leigh Coventry,2004
555,HUN,Agnes Kovacs,2004
556,GER,Teresa Rohmann,2004
557,AUS,Lara Carroll,2004
558,USA,Katie Hoff,2004
559,ROU,Beatrice Caslaru,2004
560,FRA,Laure Manaudou,2004
561,POL,Otylia Jedrzejczak,2004
562,USA,Kaitlin Sandeno,2004
563,ROU,Camelia Alina Potec,2004
564,JPN,Ai Shibata,2004
565,JPN,Sachiko Yamada,2004
566,AUS,Linda Mackenzie,2004
567,GBR,Rebecca Cooke,2004
568,UKR,Yana Klochkova,2004
569,USA,Kaitlin Sandeno,2004
570,ARG,Georgina Bardach,2004
571,HUN,Eva Risztov,2004
572,BRA,Joanna Maranhao,2004
573,GER,Nicole Hetzer,2004
574,KOR,Yoosun Nam,2004
575,GRE,Vasiliki Angelopoulou,2004
576,AUS,Alice Mills,2004
576,AUS,Sarah Ryan,2004
576,AUS,Petria Thomas,2004
576,AUS,Jodie Henry,2004
576,AUS,Libby Trickett,2004
577,USA,Jenny Thompson,2004
577,USA,Maritza Correia,2004
577,USA,Lindsay Benko,2004
577,USA,Colleen Lanne,2004
577,USA,Natalie Coughlin,2004
577,USA,Amanda Weir,2004
577,USA,Kara Lynn Joyce,2004
578,NLD,Chantal Groot,2004
578,NLD,Inge De Bruijn,2004
578,NLD,Marleen Veldhuis,2004
578,NLD,Inge Dekker,2004
578,NLD,Annabel Kosten,2004
579,GER,Franziska Van Almsick,2004
579,GER,Petra Dallmann,2004
579,GER,Daniela Gotz,2004
579,GER,Antje Buschschulte,2004
579,GER,Britta Steffen,2004
580,FRA,Malia Metella,2004
580,FRA,Solenne Figues,2004
580,FRA,Aurore Mongel,2004
580,FRA,Celine Couderc,2004
581,GBR,Karen Pickering,2004
581,GBR,Kathryn Evans,2004
581,GBR,Lisa Chapman,2004
581,GBR,Alison Sheppard,2004
581,GBR,Melanie Marshall,2004
582,SWE,Cathrin Carlzon,2004
582,SWE,Josefin Lillhage,2004
582,SWE,Johanna Sjoberg,2004
582,SWE,Therese Alshammar,2004
582,SWE,Anna-Karin Kammerling,2004
583,CHN,Yingwen Zhu,2004
583,CHN,Yu-Ting Yang,2004
583,CHN,Yanwei Xu,2004
583,CHN,Jiaru Cheng,2004
584,AUS,Leisel Jones,2004
584,AUS,Jodie Henry,2004
584,AUS,Giaan Rooney,2004
584,AUS,Alice Mills,2004
584,AUS,Petria Thomas,2004
584,AUS,Jessicah Schipper,2004
584,AUS,Brooke Hanson,2004
585,USA,Tara Kirk,2004
585,USA,Haley Cope,2004
585,USA,Jenny Thompson,2004
585,USA,Amanda Beard,2004
585,USA,Amanda Weir,2004
585,USA,Rachel Komisarz,2004
585,USA,Natalie Coughlin,2004
585,USA,Kara Lynn Joyce,2004
586,GER,Sarah Poewe,2004
586,GER,Antje Buschschulte,2004
586,GER,Franziska Van Almsick,2004
586,GER,Daniela Gotz,2004
587,CHN,Yingwen Zhu,2004
587,CHN,Yafei Zhou,2004
587,CHN,Hui Qi,2004
587,CHN,Xiujun Chen,2004
587,CHN,Shu Zhan,2004
587,CHN,Xuejuan Luo,2004
588,JPN,Reiko Nakamura,2004
588,JPN,Noriko Inada,2004
588,JPN,Tomoko Nagai,2004
588,JPN,Masami Tanaka,2004
588,JPN,Junko Onishi,2004
589,NLD,Marleen Veldhuis,2004
589,NLD,Madelon Baans,2004
589,NLD,Inge De Bruijn,2004
589,NLD,Stefanie Luiken,2004
589,NLD,Chantal Groot,2004
590,ESP,Nina Alexandrovna Zhivanevskaya,2004
590,ESP,Tatiana Rouba,2004
590,ESP,Maria Pelaez,2004
590,ESP,Sara Perez,2004
591,GBR,Kathryn Evans,2004
591,GBR,Kirsty Balfour,2004
591,GBR,Georgina Lee,2004
591,GBR,Sarah Price,2004
591,GBR,Melanie Marshall,2004
591,GBR,Katy Sexton,2004
592,USA,Lindsay Benko,2004
592,USA,Dana Vollmer,2004
592,USA,Rhi Jeffrey,2004
592,USA,Natalie Coughlin,2004
592,USA,Carly Piper,2004
592,USA,Kaitlin Sandeno,2004
592,USA,Rachel Komisarz,2004
593,CHN,Yanwei Xu,2004
593,CHN,Yingwen Zhu,2004
593,CHN,Jiaying Pang,2004
593,CHN,Yu-Ting Yang,2004
594,GER,Petra Dallmann,2004
594,GER,Antje Buschschulte,2004
594,GER,Hannah Stockbauer,2004
594,GER,Sara Harstick,2004
594,GER,Franziska Van Almsick,2004
595,AUS,Petria Thomas,2004
595,AUS,Linda Mackenzie,2004
595,AUS,Elka Graham,2004
595,AUS,Giaan Rooney,2004
595,AUS,Shayne Reese,2004
595,AUS,Alice Mills,2004
596,GBR,Melanie Marshall,2004
596,GBR,Joanne Jackson,2004
596,GBR,Karen Pickering,2004
596,GBR,Georgina Lee,2004
596,GBR,Caitlin Mcclatchey,2004
597,ESP,Tatiana Rouba,2004
597,ESP,Arantxa Ramos,2004
597,ESP,Melissa Caballero,2004
597,ESP,Erika Villaecija,2004
598,BRA,Paula Ribeiro,2004
598,BRA,Monique Ferreira,2004
598,BRA,Joanna Maranhao,2004
598,BRA,Mariana Brochado,2004
599,SWE,Josefin Lillhage,2004
599,SWE,Johanna Sjoberg,2004
599,SWE,Ida Marko-Varga,2004
599,SWE,Malin Svahnstrom,2004
599,SWE,Lotta Wanberg,2004
600,NED,Inge De Bruijn,2004
601,FRA,Malia Metella,2004
602,AUS,Libby Trickett,2004
603,SWE,Therese Alshammar,2004
604,USA,Kara Lynn Joyce,2004
605,AUS,Michelle Engelsman,2004
606,USA,Jenny Thompson,2004
607,BRA,Flavia Cazziolato,2004
608,JPN,Ai Shibata,2004
609,FRA,Laure Manaudou,2004
610,USA,Diana Munz,2004
611,USA,Kalyn Keller,2004
612,ESP,Erika Villaecija,2004
613,GBR,Rebecca Cooke,2004
614,GER,Jana Henke,2004
615,ROU,Simona Paduraru,2004
616,ROU,Diana Mocanu,2000
617,JPN,Mai Nakamura,2000
618,ESP,Nina Alexandrovna Zhivanevskaya,2000
619,FRA,Roxana Maracineanu,2000
620,JPN,Noriko Inada,2000
621,USA,B J Bedford,2000
622,AUS,Dyana Calub,2000
623,DEN,Louise Ornstedt,2000
624,USA,Megan Quann,2000
625,AUS,Leisel Jones,2000
626,RSA,Penelope Heyns,2000
627,RSA,Sarah Poewe,2000
628,HUN,Agnes Kovacs,2000
629,JPN,Masami Tanaka,2000
630,AUS,Tarnee White,2000
631,GER,Sylvia Gerasch,2000
632,NED,Inge De Bruijn,2000
633,SVK,Martina Moravcova,2000
634,USA,Dara Torres,2000
635,AUS,Petria Thomas,2000
636,USA,Jenny Thompson,2000
637,JPN,Junko Onishi,2000
638,AUS,Susan O'Neill,2000
639,ROU,Diana Mocanu,2000
640,NED,Inge De Bruijn,2000
641,SWE,Therese Alshammar,2000
642,USA,Jenny Thompson,2000
643,USA,Dara Torres,2000
644,SVK,Martina Moravcova,2000
645,RSA,Helene Muller,2000
646,JPN,Sumika Minamoto,2000
647,NED,Wilma Van Rijn,2000
648,ROU,Diana Mocanu,2000
649,FRA,Roxana Maracineanu,2000
650,JPN,Miki Nakao,2000
651,JPN,Tomoko Hagiwara,2000
652,USA,Amanda Adkins,2000
653,ESP,Nina Alexandrovna Zhivanevskaya,2000
654,GER,Antje Buschschulte,2000
655,CAN,Kelly Stefanyshyn,2000
656,HUN,Agnes Kovacs,2000
657,USA,Kristy Kowal,2000
658,USA,Amanda Beard,2000
659,CHN,Hui Qi,2000
660,RUS,Olga Bakaldina,2000
661,RSA,Sarah Poewe,2000
662,JPN,Masami Tanaka,2000
663,CHN,Xuejuan Luo,2000
664,USA,Misty Hyman,2000
665,AUS,Susan O'Neill,2000
666,AUS,Petria Thomas,2000
667,DEN,Mette Jacobsen,2000
668,POL,Otylia Jedrzejczak,2000
669,USA,Kaitlin Sandeno,2000
670,JPN,Yuko Nakanishi,2000
671,JPN,Maki Mita,2000
672,AUS,Susan O'Neill,2000
673,SVK,Martina Moravcova,2000
674,CRC,Claudia Poll Ahrens,2000
675,GER,Kerstin Kielgass,2000
676,RUS,Nadezhda Chemezova,2000
677,BLR,Natalia Baranovskaya-Khatziloizou,2000
678,ROU,Camelia Alina Potec,2000
679,CHN,Luna Wang,2000
680,UKR,Yana Klochkova,2000
681,ROU,Beatrice Caslaru,2000
682,USA,Cristina Teuscher,2000
683,CAN,Marianne Luise Limpert,2000
684,CAN,Joanne Susan Malar,2000
685,RUS,Oxana Verevka,2000
686,USA,Gabrielle Rose,2000
687,JPN,Tomoko Hagiwara,2000
688,USA,Brooke Bennett,2000
689,USA,Diana Munz,2000
690,CRC,Claudia Poll Ahrens,2000
691,JAM,Janelle Atkinson,2000
692,RUS,Nadezhda Chemezova,2000
693,GER,Hannah Stockbauer,2000
694,NED,Carla Louise Geurts,2000
695,CHN,Hua Chen,2000
696,UKR,Yana Klochkova,2000
697,JPN,Yasuko Tajima,2000
698,ROU,Beatrice Caslaru,2000
699,USA,Kaitlin Sandeno,2000
700,GER,Nicole Hetzer,2000
701,USA,Maddy Crippen,2000
702,CAN,Joanne Susan Malar,2000
703,AUS,Jennifer Reilly,2000
704,USA,Courtney Shealy,2000
704,USA,Dara Torres,2000
704,USA,Amy Van Dyken,2000
704,USA,Jenny Thompson,2000
704,USA,Ashley T Tappin,2000
704,USA,Erin Ashley Phenix,2000
705,NLD,Chantal Groot,2000
705,NLD,Inge De Bruijn,2000
705,NLD,Wilma Van Rijn,2000
705,NLD,Manon Van Rooijen,2000
705,NLD,Thamar Henneken,2000
706,SWE,Therese Alshammar,2000
706,SWE,Anna-Karin Kammerling,2000
706,SWE,Josefin Lillhage,2000
706,SWE,Louise Johncke,2000
706,SWE,Johanna Sjoberg,2000
706,SWE,Malin Svahnstrom,2000
707,GER,Antje Buschschulte,2000
707,GER,Katrin Meissner,2000
707,GER,Britta Steffen,2000
707,GER,Franziska Van Almsick,2000
707,GER,Kerstin Kielgass,2000
707,GER,Sandra Voelker,2000
707,GER,Daniela Samulski,2000
708,GBR,Rosalind Brett,2000
708,GBR,Susan Rolph,2000
708,GBR,Alison Sheppard,2000
708,GBR,Karen Pickering,2000
709,AUS,Elka Graham,2000
709,AUS,Susan O'Neill,2000
709,AUS,Giaan Rooney,2000
709,AUS,Sarah Ryan,2000
709,AUS,Melanie Dodd,2000
710,CAN,Shannon Shakespeare,2000
710,CAN,Marianne Luise Limpert,2000
710,CAN,Laura Nicholls,2000
710,CAN,Jessica Deglau,2000
711,ITA,Cecilia Vianini,2000
711,ITA,Cristina Chiuso,2000
711,ITA,Luisa Striani,2000
711,ITA,Sara Parise,2000
712,USA,Megan Quann,2000
712,USA,Courtney Shealy,2000
712,USA,Ashley T Tappin,2000
712,USA,Jenny Thompson,2000
712,USA,Dara Torres,2000
712,USA,Amy Van Dyken,2000
712,USA,Staciana Stitts,2000
712,USA,B J Bedford,2000
713,AUS,Dyana Calub,2000
713,AUS,Susan O'Neill,2000
713,AUS,Petria Thomas,2000
713,AUS,Leisel Jones,2000
713,AUS,Tarnee White,2000
713,AUS,Sarah Ryan,2000
713,AUS,Giaan Rooney,2000
714,JPN,Mai Nakamura,2000
714,JPN,Sumika Minamoto,2000
714,JPN,Masami Tanaka,2000
714,JPN,Junko Onishi,2000
715,GER,Franziska Van Almsick,2000
715,GER,Antje Buschschulte,2000
715,GER,Katrin Meissner,2000
715,GER,Sylvia Gerasch,2000
716,ZAF,Sarah Poewe,2000
716,ZAF,Helene Muller,2000
716,ZAF,Charlene Wittstock,2000
716,ZAF,Amanda Loots,2000
717,CAN,Laura Nicholls,2000
717,CAN,Jen Button,2000
717,CAN,Marianne Luise Limpert,2000
717,CAN,Kelly Stefanyshyn,2000
717,CAN,Christin Petelski,2000
717,CAN,Michelle Lischinsky,2000
718,GBR,Karen Pickering,2000
718,GBR,Katy Sexton,2000
718,GBR,Susan Rolph,2000
718,GBR,Heidi Earp,2000
719,CHN,Shu Zhan,2000
719,CHN,Limin Liu,2000
719,CHN,Xue Han,2000
719,CHN,Hui Qi,2000
720,USA,Samantha Arsenault,2000
720,USA,Julia Stowers,2000
720,USA,Jenny Thompson,2000
720,USA,Kim Black,2000
720,USA,Diana Munz,2000
720,USA,Lindsay Benko,2000
721,AUS,Elka Graham,2000
721,AUS,Giaan Rooney,2000
721,AUS,Susan O'Neill,2000
721,AUS,Petria Thomas,2000
721,AUS,Jacinta Van Lint,2000
721,AUS,Kirsten Thomson,2000
722,GER,Sara Harstick,2000
722,GER,Kerstin Kielgass,2000
722,GER,Meike Freitag,2000
722,GER,Britta Steffen,2000
722,GER,Antje Buschschulte,2000
722,GER,Franziska Van Almsick,2000
723,ROU,Camelia Alina Potec,2000
723,ROU,Simona Paduraru,2000
723,ROU,Florina Herea,2000
723,ROU,Ioana Diaconescu,2000
723,ROU,Beatrice Caslaru,2000
724,CAN,Marianne Luise Limpert,2000
724,CAN,Shannon Shakespeare,2000
724,CAN,Joanne Susan Malar,2000
724,CAN,Jessica Deglau,2000
724,CAN,Jen Button,2000
725,GBR,Karen Pickering,2000
725,GBR,Karen Legg,2000
725,GBR,Claire Huddart,2000
725,GBR,Janine Belton,2000
726,ITA,Sara Goffi,2000
726,ITA,Cecilia Vianini,2000
726,ITA,Luisa Striani,2000
726,ITA,Sara Parise,2000
727,FRA,Solenne Figues,2000
727,FRA,Katarin Quelennec,2000
727,FRA,Leatitia Choux,2000
728,NED,Inge De Bruijn,2000
729,SWE,Therese Alshammar,2000
730,USA,Dara Torres,2000
731,USA,Amy Van Dyken,2000
732,SVK,Martina Moravcova,2000
733,GER,Sandra Voelker,2000
734,GBR,Alison Sheppard,2000
735,JPN,Sumika Minamoto,2000
736,USA,Brooke Bennett,2000
737,UKR,Yana Klochkova,2000
738,USA,Kaitlin Sandeno,2000
739,SUI,Flavia Rigamonti,2000
740,GER,Hannah Stockbauer,2000
741,CHN,Hua Chen,2000
742,GER,Jana Henke,2000
743,JPN,Sachiko Yamada,2000
744,USA,Beth Botsford,1996
745,USA,Whitney L. Hedgepeth,1996
746,RSA,Marianne Kriel,1996
747,JPN,Mai Nakamura,1996
748,CHN,Yan Chen,1996
749,GER,Antje Buschschulte,1996
750,AUS,Nicole Livingstone,1996
751,JPN,Miki Nakao,1996
752,RSA,Penelope Heyns,1996
753,USA,Amanda Beard,1996
754,AUS,Samantha Linette Riley,1996
755,UKR,Svitlana Bondarenko,1996
756,AUT,Vera Lischka,1996
757,CAN,Guylaine Cloutier,1996
758,HUN,Agnes Kovacs,1996
759,BEL,Brigitte Becue,1996
760,USA,Amy Van Dyken,1996
761,CHN,Limin Liu,1996
762,USA,Angel Martino,1996
763,JPN,Hitomi Kashima,1996
764,AUS,Susan O'Neill,1996
765,JPN,Ayari Aoyama,1996
766,CHN,Huijue Cai,1996
767,DEN,Mette Jacobsen,1996
768,CHN,Jingyi Le,1996
769,GER,Sandra Voelker,1996
770,USA,Angel Martino,1996
771,USA,Amy Van Dyken,1996
772,GER,Franziska Van Almsick,1996
773,AUS,Sarah Ryan,1996
774,DEN,Mette Jacobsen,1996
775,NED,Karin Brienesse,1996
776,HUN,Krisztina Egerszegi,1996
777,USA,Whitney L. Hedgepeth,1996
778,GER,Cathleen Rund,1996
779,GER,Anke Scholz,1996
780,JPN,Miki Nakao,1996
781,NZL,Anna Katrina Simcic,1996
782,ITA,Lorenza Vigarani,1996
783,RUS,Nina Alexandrovna Zhivanevskaya,1996
784,RSA,Penelope Heyns,1996
785,USA,Amanda Beard,1996
786,HUN,Agnes Kovacs,1996
787,AUS,Samantha Linette Riley,1996
788,JPN,Masami Tanaka,1996
789,AUS,Nadine Neumann,1996
790,BEL,Brigitte Becue,1996
791,CAN,Christin Petelski,1996
792,AUS,Susan O'Neill,1996
793,AUS,Petria Thomas,1996
794,IRL,Michelle Marie Smith,1996
795,CHN,Yun Qu,1996
796,CHN,Limin Liu,1996
797,CAN,Jessica Deglau,1996
798,JPN,Mika Haruna,1996
799,USA,Trina Jackson,1996
800,CRC,Claudia Poll Ahrens,1996
801,GER,Franziska Van Almsick,1996
802,GER,Dagmar Hase,1996
803,USA,Trina Jackson,1996
804,AUS,Susan O'Neill,1996
805,USA,Cristina Teuscher,1996
806,AUS,Julia Greville,1996
807,ROU,Liliana Luminita Dobrescu,1996
808,IRL,Michelle Marie Smith,1996
809,CAN,Marianne Luise Limpert,1996
810,CHN,Li Lin,1996
811,CAN,Joanne Susan Malar,1996
812,AUS,Elli Overton,1996
813,USA,Allison Wagner,1996
814,NED,Minouche Smit,1996
815,SWE,Louise Karlsson,1996
816,IRL,Michelle Marie Smith,1996
817,GER,Dagmar Hase,1996
818,NED,Kirsten Vlieghuis,1996
819,GER,Kerstin Kielgass,1996
820,CRC,Claudia Poll Ahrens,1996
821,NED,Carla Louise Geurts,1996
822,JPN,Eri Yamanoi,1996
823,USA,Cristina Teuscher,1996
824,IRL,Michelle Marie Smith,1996
825,USA,Allison Wagner,1996
826,HUN,Krisztina Egerszegi,1996
827,GER,Sabine Herbst,1996
828,AUS,Emma Johnson,1996
829,ROU,Beatrice Caslaru,1996
830,ESP,Lourdes Becerra,1996
831,USA,Whitney Metzler,1996
832,USA,Amy Van Dyken,1996
832,USA,Melanie Valerio,1996
832,USA,Catherine Fox,1996
832,USA,Jenny Thompson,1996
832,USA,Angel Martino,1996
832,USA,Lisa Jacob,1996
833,CHN,Yun Nian,1996
833,CHN,Ying Shan,1996
833,CHN,Jingyi Le,1996
833,CHN,Na Chao,1996
834,GER,Franziska Van Almsick,1996
834,GER,Simone Osygus,1996
834,GER,Meike Freitag,1996
834,GER,Antje Buschschulte,1996
834,GER,Sandra Voelker,1996
835,NLD,Minouche Smit,1996
835,NLD,Manon Masseurs,1996
835,NLD,Wilma Van Rijn,1996
835,NLD,Karin Brienesse,1996
835,NLD,Marianne Muis,1996
836,SWE,Linda Olofsson,1996
836,SWE,Johanna Sjoberg,1996
836,SWE,Louise Karlsson,1996
836,SWE,Louise Johncke,1996
837,AUS,Susan O'Neill,1996
837,AUS,Anna Windsor,1996
837,AUS,Lise Maree Mackie,1996
837,AUS,Sarah Ryan,1996
837,AUS,Julia Greville,1996
838,CAN,Shannon Shakespeare,1996
838,CAN,Julie Kathryn Howard,1996
838,CAN,Marianne Luise Limpert,1996
839,RUS,Natalya Sorokina,1996
839,RUS,Yelena Nazemnova,1996
839,RUS,Natalia Meshcheryakova,1996
839,RUS,Svetlana Leshukova,1996
840,USA,Kristine Quance,1996
840,USA,Angel Martino,1996
840,USA,Amanda Beard,1996
840,USA,Beth Botsford,1996
840,USA,Jenny Thompson,1996
840,USA,Amy Van Dyken,1996
840,USA,Whitney L. Hedgepeth,1996
840,USA,Catherine Fox,1996
841,AUS,Samantha Linette Riley,1996
841,AUS,Susan O'Neill,1996
841,AUS,Angela Kennedy,1996
841,AUS,Helen Denman,1996
